t,theta_ec
   0.0000000000000000      ,  0.14000000000000001     
   9.9999997764825821E-003 ,  0.13998600000062586     
   1.9999999552965164E-002 ,  0.13995800140187742     
   2.9999999329447746E-002 ,  0.13991600700361445     
   3.9999999105930328E-002 ,  0.13986002100527661     
   4.9999998882412910E-002 ,  0.13979004900546346     
   5.9999998658895493E-002 ,  0.13970609800137468     
   6.9999998435378075E-002 ,  0.13960817638811029     
   7.9999998211860657E-002 ,  0.13949629395783120     
   8.9999997988343239E-002 ,  0.13937046189877991     
   9.9999997764825821E-002 ,  0.13923069279416178     
  0.10999999754130840      ,  0.13907700062088665     
  0.11999999731779099      ,  0.13890940074817115     
  0.12999999709427357      ,  0.13872790993600181     
  0.13999999687075615      ,  0.13853254633345902     
  0.14999999664723873      ,  0.13832332947690218     
  0.15999999642372131      ,  0.13810028028801599     
  0.16999999620020390      ,  0.13786342107171837     
  0.17999999597668648      ,  0.13761277551392986     
  0.18999999575316906      ,  0.13734836867920516     
  0.19999999552965164      ,  0.13707022700822652     
  0.20999999530613422      ,  0.13677837831515982     
  0.21999999508261681      ,  0.13647285178487303     
  0.22999999485909939      ,  0.13615367797001784     
  0.23999999463558197      ,  0.13582088878797433     
  0.24999999441206455      ,  0.13547451751765915     
  0.25999999418854713      ,  0.13511459879619783     
  0.26999999396502972      ,  0.13474116861546090     
  0.27999999374151230      ,  0.13435426431846478     
  0.28999999351799488      ,  0.13395392459563743     
  0.29999999329447746      ,  0.13354018948094931     
  0.30999999307096004      ,  0.13311310034791007     
  0.31999999284744263      ,  0.13267269990543112     
  0.32999999262392521      ,  0.13221903219355471     
  0.33999999240040779      ,  0.13175214257905002     
  0.34999999217689037      ,  0.13127207775087640     
  0.35999999195337296      ,  0.13077888571551452     
  0.36999999172985554      ,  0.13027261579216570     
  0.37999999150633812      ,  0.12975331860782005     
  0.38999999128282070      ,  0.12922104609219365     
  0.39999999105930328      ,  0.12867585147253569     
  0.40999999083578587      ,  0.12811778926830569     
  0.41999999061226845      ,  0.12754691528572162     
  0.42999999038875103      ,  0.12696328661217915     
  0.43999999016523361      ,  0.12636696161054303     
  0.44999998994171619      ,  0.12575799991331077     
  0.45999998971819878      ,  0.12513646241664936     
  0.46999998949468136      ,  0.12450241127430567     
  0.47999998927116394      ,  0.12385590989139113     
  0.48999998904764652      ,  0.12319702291804112     
  0.49999998882412910      ,  0.12252581624295004     
  0.50999998860061169      ,  0.12184235698678240     
  0.51999998837709427      ,  0.12114671349546077     
  0.52999998815357685      ,  0.12043895533333115     
  0.53999998793005943      ,  0.11971915327620661     
  0.54999998770654202      ,  0.11898737930428963     
  0.55999998748302460      ,  0.11824370659497413     
  0.56999998725950718      ,  0.11748820951552773     
  0.57999998703598976      ,  0.11672096361565498     
  0.58999998681247234      ,  0.11594204561994247     
  0.59999998658895493      ,  0.11515153342018625     
  0.60999998636543751      ,  0.11434950606760279     
  0.61999998614192009      ,  0.11353604376492374     
  0.62999998591840267      ,  0.11271122785837574     
  0.63999998569488525      ,  0.11187514082954578     
  0.64999998547136784      ,  0.11102786628713297     
  0.65999998524785042      ,  0.11016948895858779     
  0.66999998502433300      ,  0.10930009468163925     
  0.67999998480081558      ,  0.10841977039571114     
  0.68999998457729816      ,  0.10752860413322815     
  0.69999998435378075      ,  0.10662668501081252     
  0.70999998413026333      ,  0.10571410322037246     
  0.71999998390674591      ,  0.10479095002008294     
  0.72999998368322849      ,  0.10385731772525987     
  0.73999998345971107      ,  0.10291329969912856     
  0.74999998323619366      ,  0.10195899034348739     
  0.75999998301267624      ,  0.10099448508926767     
  0.76999998278915882      ,  0.10001988038699050     
  0.77999998256564140      ,   9.9035273697121756E-002
  0.78999998234212399      ,   9.8040763480326018E-002
  0.79999998211860657      ,   9.7036449187620527E-002
  0.80999998189508915      ,   9.6022431250430057E-002
  0.81999998167157173      ,   9.4998811070543795E-002
  0.82999998144805431      ,   9.3965691009975164E-002
  0.83999998122453690      ,   9.2923174380725587E-002
  0.84999998100101948      ,   9.1871365434453345E-002
  0.85999998077750206      ,   9.0810369352048351E-002
  0.86999998055398464      ,   8.9740292233114111E-002
  0.87999998033046722      ,   8.8661241085357723E-002
  0.88999998010694981      ,   8.7573323813889145E-002
  0.89999997988343239      ,   8.6476649210430662E-002
  0.90999997965991497      ,   8.5371326942437722E-002
  0.91999997943639755      ,   8.4257467542132175E-002
  0.92999997921288013      ,   8.3135182395449078E-002
  0.93999997898936272      ,   8.2004583730898070E-002
  0.94999997876584530      ,   8.0865784608340568E-002
  0.95999997854232788      ,   7.9718898907683730E-002
  0.96999997831881046      ,   7.8564041317492492E-002
  0.97999997809529305      ,   7.7401327323520716E-002
  0.98999997787177563      ,   7.6230873197162596E-002
  0.99999997764825821      ,   7.5052795983825540E-002
   1.0099999774247408      ,   7.3867213491225617E-002
   1.0199999772012234      ,   7.2674244277606784E-002
   1.0299999769777060      ,   7.1474007639885068E-002
   1.0399999767541885      ,   7.0266623601718869E-002
   1.0499999765306711      ,   6.9052212901506621E-002
   1.0599999763071537      ,   6.7830896980312916E-002
   1.0699999760836363      ,   6.6602797969724403E-002
   1.0799999758601189      ,   6.5368038679636656E-002
   1.0899999756366014      ,   6.4126742585973159E-002
   1.0999999754130840      ,   6.2879033818337732E-002
   1.1099999751895666      ,   6.1625037147601563E-002
   1.1199999749660492      ,   6.0364877973426122E-002
   1.1299999747425318      ,   5.9098682311723189E-002
   1.1399999745190144      ,   5.7826576782053274E-002
   1.1499999742954969      ,   5.6548688594963661E-002
