t,e
   10.369999768212438      ,   1.0438056355822634     
   10.379999767988920      ,   1.0439221097778673     
   10.389999767765403      ,   1.0440381789765480     
   10.399999767541885      ,   1.0441538455322599     
   10.409999767318368      ,   1.0442691123101302     
   10.419999767094851      ,   1.0443839826735832     
   10.429999766871333      ,   1.0444984604706484     
   10.439999766647816      ,   1.0446125500195647     
   10.449999766424298      ,   1.0447262560937125     
   10.459999766200781      ,   1.0448395839058355     
   10.469999765977263      ,   1.0449525390917132     
   10.479999765753746      ,   1.0450651276930825     
   10.489999765530229      ,   1.0451773561401552     
   10.499999765306711      ,   1.0452892312334405     
   10.509999765083194      ,   1.0454007601251440     
   10.519999764859676      ,   1.0455119503000760     
   10.529999764636159      ,   1.0456228095560443     
   10.539999764412642      ,   1.0457333459839127     
   10.549999764189124      ,   1.0458435679472713     
   10.559999763965607      ,   1.0459534840617024     
   10.569999763742089      ,   1.0460631031738019     
   10.579999763518572      ,   1.0461724343399270     
   10.589999763295054      ,   1.0462814868046646     
   10.599999763071537      ,   1.0463902699791447     
   10.609999762848020      ,   1.0464987934191738     
   10.619999762624502      ,   1.0466070668032725     
   10.629999762400985      ,   1.0467150999106118     
   10.639999762177467      ,   1.0468229025988951     
   10.649999761953950      ,   1.0469304847822269     
   10.659999761730433      ,   1.0470378564090654     
   10.669999761506915      ,   1.0471450274401932     
   10.679999761283398      ,   1.0472520078268024     
   10.689999761059880      ,   1.0473588074887243     
   10.699999760836363      ,   1.0474654362928804     
   10.709999760612845      ,   1.0475719040318814     
   10.719999760389328      ,   1.0476782204029376     
   10.729999760165811      ,   1.0477843949870376     
   10.739999759942293      ,   1.0478904372284485     
   10.749999759718776      ,   1.0479963564146297     
   10.759999759495258      ,   1.0481021616564377     
   10.769999759271741      ,   1.0482078618688691     
   10.779999759048223      ,   1.0483134657522062     
   10.789999758824706      ,   1.0484189817736773     
   10.799999758601189      ,   1.0485244181496576     
   10.809999758377671      ,   1.0486297828283866     
   10.819999758154154      ,   1.0487350834732931     
   10.829999757930636      ,   1.0488403274469940     
   10.839999757707119      ,   1.0489455217958139     
   10.849999757483602      ,   1.0490506732350657     
   10.859999757260084      ,   1.0491557881350382     
   10.869999757036567      ,   1.0492608725076173     
   10.879999756813049      ,   1.0493659319937303     
   10.889999756589532      ,   1.0494709718515287     
   10.899999756366014      ,   1.0495759969452993     
   10.909999756142497      ,   1.0496810117353124     
   10.919999755918980      ,   1.0497860202683318     
   10.929999755695462      ,   1.0498910261690695     
   10.939999755471945      ,   1.0499960326324773     
   10.949999755248427      ,   1.0501010424168418     
   10.959999755024910      ,   1.0502060578378469     
   10.969999754801393      ,   1.0503110807634597     
   10.979999754577875      ,   1.0504161126097296     
   10.989999754354358      ,   1.0505211543375383     
   10.999999754130840      ,   1.0506262064501415     
   11.009999753907323      ,   1.0507312689917765     
   11.019999753683805      ,   1.0508363415470907     
   11.029999753460288      ,   1.0509414232415129     
   11.039999753236771      ,   1.0510465127425419     
   11.049999753013253      ,   1.0511516082619812     
   11.059999752789736      ,   1.0512567075590367     
   11.069999752566218      ,   1.0513618079443685     
   11.079999752342701      ,   1.0514669062850404     
   11.089999752119184      ,   1.0515719990103451     
   11.099999751895666      ,   1.0516770821185488     
   11.109999751672149      ,   1.0517821511844296     
   11.119999751448631      ,   1.0518872013678335     
   11.129999751225114      ,   1.0519922274229092     
   11.139999751001596      ,   1.0520972237083059     
   11.149999750778079      ,   1.0522021841980964     
   11.159999750554562      ,   1.0523071024935899     
   11.169999750331044      ,   1.0524119718358362     
   11.179999750107527      ,   1.0525167851189630     
   11.189999749884009      ,   1.0526215349042147     
   11.199999749660492      ,   1.0527262134346731     
   11.209999749436975      ,   1.0528308126507815     
   11.219999749213457      ,   1.0529353242063733     
   11.229999748989940      ,   1.0530397394854816     
   11.239999748766422      ,   1.0531440496196829     
   11.249999748542905      ,   1.0532482455060264     
   11.259999748319387      ,   1.0533523178255444     
   11.269999748095870      ,   1.0534562570622452     
   11.279999747872353      ,   1.0535600535226253     
   11.289999747648835      ,   1.0536636973556157     
   11.299999747425318      ,   1.0537671785729537     
   11.309999747201800      ,   1.0538704870699640     
   11.319999746978283      ,   1.0539736126466521     
   11.329999746754766      ,   1.0540765450291387     
   11.339999746531248      ,   1.0541792738913793     
   11.349999746307731      ,   1.0542817888771117     
   11.359999746084213      ,   1.0543840796220283     
   11.369999745860696      ,   1.0544861357760964     
   11.379999745637178      ,   1.0545879470260069     
   11.389999745413661      ,   1.0546895031177681     
   11.399999745190144      ,   1.0547907938792467     
   11.409999744966626      ,   1.0548918092428645     
   11.419999744743109      ,   1.0549925392681376     
   11.429999744519591      ,   1.0550929741642738     
   11.439999744296074      ,   1.0551931043125227     
   11.449999744072556      ,   1.0552929202885832     
   11.459999743849039      ,   1.0553924128846242     
   11.469999743625522      ,   1.0554915731312364     
   11.479999743402004      ,   1.0555903923190928     
   11.489999743178487      ,   1.0556888620202738     
   11.499999742954969      ,   1.0557869741093240     
   11.509999742731452      ,   1.0558847207838880     
   11.519999742507935      ,   1.0559820945850091     
   11.529999742284417      ,   1.0560790884169291     
   11.539999742060900      ,   1.0561756955664399     
   11.549999741837382      ,   1.0562719097217477     
   11.559999741613865      ,   1.0563677249907792     
   11.569999741390347      ,   1.0564631359188807     
   11.579999741166830      ,   1.0565581375060027     
   11.589999740943313      ,   1.0566527252231452     
   11.599999740719795      ,   1.0567468950282075     
   11.609999740496278      ,   1.0568406433811399     
   11.619999740272760      ,   1.0569339672583378     
   11.629999740049243      ,   1.0570268641662734     
   11.639999739825726      ,   1.0571193321544541     
   11.649999739602208      ,   1.0572113698274697     
   11.659999739378691      ,   1.0573029763562649     
   11.669999739155173      ,   1.0573941514885876     
   11.679999738931656      ,   1.0574848955585068     
   11.689999738708138      ,   1.0575752094951474     
   11.699999738484621      ,   1.0576650948304185     
   11.709999738261104      ,   1.0577545537059085     
   11.719999738037586      ,   1.0578435888787865     
   11.729999737814069      ,   1.0579322037268204     
   11.739999737590551      ,   1.0580204022523412     
   11.749999737367034      ,   1.0581081890853761     
   11.759999737143517      ,   1.0581955694856813     
   11.769999736919999      ,   1.0582825493438226     
   11.779999736696482      ,   1.0583691351813274     
   11.789999736472964      ,   1.0584553341497736     
   11.799999736249447      ,   1.0585411540289007     
   11.809999736025929      ,   1.0586266032237239     
   11.819999735802412      ,   1.0587116907606675     
   11.829999735578895      ,   1.0587964262826914     
   11.839999735355377      ,   1.0588808200433764     
   11.849999735131860      ,   1.0589648829001486     
   11.859999734908342      ,   1.0590486263063925     
   11.869999734684825      ,   1.0591320623026348     
   11.879999734461308      ,   1.0592152035068596     
   11.889999734237790      ,   1.0592980631036895     
   11.899999734014273      ,   1.0593806548328124     
   11.909999733790755      ,   1.0594629929763737     
   11.919999733567238      ,   1.0595450923455434     
   11.929999733343720      ,   1.0596269682660802     
   11.939999733120203      ,   1.0597086365631661     
   11.949999732896686      ,   1.0597901135452887     
   11.959999732673168      ,   1.0598714159873608     
   11.969999732449651      ,   1.0599525611129574     
   11.979999732226133      ,   1.0600335665758907     
   11.989999732002616      ,   1.0601144504409512     
   11.999999731779099      ,   1.0601952311638767     
   12.009999731555581      ,   1.0602759275707847     
   12.019999731332064      ,   1.0603565588367481     
   12.029999731108546      ,   1.0604371444638911     
   12.039999730885029      ,   1.0605177042587552     
   12.049999730661511      ,   1.0605982583091578     
   12.059999730437994      ,   1.0606788269605132     
   12.069999730214477      ,   1.0607594307916151     
   12.079999729990959      ,   1.0608400905899740     
   12.089999729767442      ,   1.0609208273266901     
   12.099999729543924      ,   1.0610016621309377     
   12.109999729320407      ,   1.0610826162641349     
   12.119999729096889      ,   1.0611637110937053     
   12.129999728873372      ,   1.0612449680666327     
   12.139999728649855      ,   1.0613264086827159     
   12.149999728426337      ,   1.0614080544676572     
   12.159999728202820      ,   1.0614899269459237     
   12.169999727979302      ,   1.0615720476136206     
   12.179999727755785      ,   1.0616544379110522     
   12.189999727532268      ,   1.0617371191955087     
   12.199999727308750      ,   1.0618201127137954     
   12.209999727085233      ,   1.0619034395749860     
   12.219999726861715      ,   1.0619871207231653     
   12.229999726638198      ,   1.0620711769102957     
   12.239999726414680      ,   1.0621556286692844     
   12.249999726191163      ,   1.0622404962871916     
   12.259999725967646      ,   1.0623257997787372     
   12.269999725744128      ,   1.0624115588600556     
   12.279999725520611      ,   1.0624977929227690     
   12.289999725297093      ,   1.0625845210084437     
   12.299999725073576      ,   1.0626717617834234     
   12.309999724850059      ,   1.0627595335141045     
   12.319999724626541      ,   1.0628478540426836     
   12.329999724403024      ,   1.0629367407634507     
   12.339999724179506      ,   1.0630262105995336     
   12.349999723955989      ,   1.0631162799803411     
   12.359999723732471      ,   1.0632069648195814     
   12.369999723508954      ,   1.0632982804938313     
   12.379999723285437      ,   1.0633902418219903     
   12.389999723061919      ,   1.0634828630452484     
   12.399999722838402      ,   1.0635761578079146     
   12.409999722614884      ,   1.0636701391390031     
   12.419999722391367      ,   1.0637648194345828     
   12.429999722167850      ,   1.0638602104409745     
   12.439999721944332      ,   1.0639563232388500     
   12.449999721720815      ,   1.0640531682281043     
   12.459999721497297      ,   1.0641507551137748     
   12.469999721273780      ,   1.0642490928927169     
   12.479999721050262      ,   1.0643481898413938     
