 i,r1n,r2n,r3n,r1d,r2d,r3dr1s,r2s,r3s
0,          -7.86915887850,           2.13559322034,           9.15527950311,          -5.00000000000,           2.50000000000,           7.50000000000,          -7.50002305954,           1.88461538462,           8.68922108576
1,          -7.10646566346,           1.99933084465,           9.00471464883,          -7.50000000000,           1.25000000000,           8.75000000000,          -6.91915429979,           2.00136536908,           9.12656952039
2,          -7.00191344530,           1.99999998580,           9.00000455770,          -6.25000000000,           1.87500000000,           9.37500000000,          -6.99335751505,           2.00000470020,           8.99167756119
3,          -7.00000063531,           1.99999998580,           9.00000000000,          -6.87500000000,           2.18750000000,           9.06250000000,          -7.00009433390,           1.99999999980,           8.99978775386
4,          -7.00000063531,           1.99999998580,           9.00000000000,          -7.18750000000,           2.03125000000,           8.90625000000,          -6.99999989112,           2.00000000000,           9.00000036325
5,          -7.00000063531,           1.99999998580,           9.00000000000,          -7.03125000000,           1.95312500000,           8.98437500000,          -7.00000000000,           2.00000000000,           8.99999999998
6,          -7.00000063531,           1.99999998580,           9.00000000000,          -6.95312500000,           1.99218750000,           9.02343750000,          -7.00000000000,           2.00000000000,           9.00000000000
