t,theta,w
   0.0000000000000000      ,  0.13699999997392298      ,   0.0000000000000000     
   4.0000000000000001E-002 ,  0.13678148502489548      ,  -5.4628737256876368E-003
   8.0000000000000002E-002 ,  0.13637050258406475      ,  -1.0274561020768382E-002
  0.12000000000000000      ,  0.13579286908720417      ,  -1.4440837421514568E-002
  0.16000000000000000      ,  0.13507411853760895      ,  -1.7968763739880669E-002
  0.20000000000000001      ,  0.13423945259941386      ,  -2.0866648454877464E-002
  0.23999999999999999      ,  0.13331369224652431      ,  -2.3144008822238597E-002
  0.28000000000000003      ,  0.13232123101664187      ,  -2.4811530747061217E-002
  0.32000000000000001      ,  0.13128598991800117      ,  -2.5881027466017430E-002
  0.35999999999999999      ,  0.13023137403445351      ,  -2.6365397088691785E-002
  0.40000000000000002      ,  0.12918023087240091      ,  -2.6278579051315001E-002
  0.44000000000000000      ,  0.12815481049078625      ,  -2.5635509540366322E-002
  0.47999999999999998      ,  0.12717672745286793      ,  -2.4452075947957962E-002
  0.52000000000000002      ,  0.12626692463585298      ,  -2.2745070425373441E-002
  0.56000000000000005      ,  0.12544563893163641      ,  -2.0532142605414392E-002
  0.59999999999999998      ,  0.12473236886891013      ,  -1.7831751568156778E-002
  0.64000000000000001      ,  0.12414584418378219      ,  -1.4663117128198627E-002
  0.68000000000000005      ,  0.12370399736280609      ,  -1.1046170524402687E-002
  0.71999999999999997      ,  0.12342393717898865      ,  -7.0015045954357818E-003
  0.76000000000000001      ,  0.12332192423794662      ,  -2.5503235260509495E-003
  0.80000000000000004      ,  0.12341334854794475      ,   2.2856077499533523E-003
  0.83999999999999997      ,  0.12371270912409700      ,   7.4840144038063015E-003
  0.88000000000000000      ,  0.12423359563356928      ,   1.3022162736806901E-002
  0.92000000000000004      ,  0.12498867208520993      ,   1.8876911291016367E-002
  0.95999999999999996      ,  0.12598966256366831      ,   2.5024761961459255E-002
   1.0000000000000000      ,  0.12724733900475663      ,   3.1441911027208044E-002
   1.0400000000000000      ,  0.12877151100557577      ,   3.8104300020478592E-002
   1.0800000000000001      ,  0.13057101765976567      ,   4.4987666354747859E-002
   1.1200000000000001      ,  0.13265372140515830      ,   5.2067593634816042E-002
   1.1599999999999999      ,  0.13502650386810125      ,   5.9319561573573522E-002
   1.2000000000000000      ,  0.13769526368577753      ,   6.6718995441907181E-002
   1.2400000000000000      ,  0.14066491628496197      ,   7.4241314979611145E-002
   1.2800000000000000      ,  0.14393939559281352      ,   8.1861982696288402E-002
   1.3200000000000001      ,  0.14752165765249323      ,   8.9556551491992625E-002
   1.3600000000000001      ,  0.15141368611360256      ,   9.7300711527733605E-002
   1.4000000000000001      ,  0.15561649956464027      ,  0.10507033627594278     
   1.4399999999999999      ,  0.16013016067186334      ,  0.11284152768057665     
   1.4800000000000000      ,  0.16495378708609346      ,  0.12059066035575305     
   1.5200000000000000      ,  0.17008556407612213      ,  0.12829442475071673     
   1.5600000000000001      ,  0.17552275884442539      ,  0.13592986920758166     
   1.6000000000000001      ,  0.18126173647789670      ,  0.14347444083678298     
   1.6400000000000001      ,  0.18729797748324012      ,  0.15090602513358545     
   1.6799999999999999      ,  0.19362609685353818      ,  0.15820298425745147     
   1.7200000000000000      ,  0.20023986460932564      ,  0.16534419389468624     
   1.7600000000000000      ,  0.20713222775427273      ,  0.17230907862367720     
   1.8000000000000000      ,  0.21429533358232700      ,  0.17907764570135690     
   1.8400000000000001      ,  0.22172055426990186      ,  0.18563051718937182     
   1.8800000000000001      ,  0.22939851268346007      ,  0.19194896033895528     
   1.9199999999999999      ,  0.23731910932965203      ,  0.19801491615479913     
   1.9600000000000000      ,  0.24547155037206794      ,  0.20381102606039794     
   2.0000000000000000      ,  0.25384437663568771      ,  0.20932065659049365     
   2.0400000000000000      ,  0.26242549351730571      ,  0.21452792204044974     
   2.0800000000000001      ,  0.27120220171761311      ,  0.21941770500768515     
   2.1200000000000001      ,  0.28016122870828236      ,  0.22397567476673180     
   2.1600000000000001      ,  0.28928876084536448      ,  0.22818830342705276     
   2.2000000000000002      ,  0.29857047603862263      ,  0.23204287983145397     
   2.2400000000000002      ,  0.30799157688513062      ,  0.23552752116270020     
   2.2800000000000002      ,  0.31753682417460011      ,  0.23863118223673754     
   2.3199999999999998      ,  0.32719057067350571      ,  0.24134366247264030     
   2.3599999999999999      ,  0.33693679509518271      ,  0.24365561054192486     
   2.3999999999999999      ,  0.34675913616370557      ,  0.24555852671307180     
   2.4399999999999999      ,  0.35664092668053826      ,  0.24704476292081687     
   2.4800000000000000      ,  0.36656522750469189      ,  0.24810752060384131     
   2.5200000000000000      ,  0.37651486135944107      ,  0.24874084636872887     
   2.5600000000000001      ,  0.38647244638153194      ,  0.24893962555227175     
   2.6000000000000001      ,  0.39642042933225996      ,  0.24869957376820048     
   2.6400000000000001      ,  0.40634111839377945      ,  0.24801722653798752     
   2.6800000000000002      ,  0.41621671547851280      ,  0.24688992711833394     
   2.7200000000000002      ,  0.42602934798451692      ,  0.24531581265010352     
   2.7600000000000002      ,  0.43576109993510248      ,  0.24329379876463911     
   2.8000000000000003      ,  0.44539404244683911      ,  0.24082356279341530     
   2.8399999999999999      ,  0.45491026347626712      ,  0.23790552573569984     
   2.8799999999999999      ,  0.46429189680211436      ,  0.23454083314618041     
   2.9199999999999999      ,  0.47352115020652452      ,  0.23073133511025465     
   2.9600000000000000      ,  0.48258033282567614      ,  0.22647956547879081     
   3.0000000000000000      ,  0.49145188164713927      ,  0.22178872053657828     
   3.0400000000000000      ,  0.50011838713831380      ,  0.21666263727936369     
