theta,periodo_sim,periodo_int,periodo_apx
   1.5707963267948966      ,   7.4099998343735933      ,   7.4163918405287959      ,   7.2521314534389560     
   1.5550883635269477      ,   7.3799998350441456      ,   7.3899998852000053      ,   7.2328494251283937     
   1.5393804002589988      ,   7.3599998354911804      ,   7.3640574201622027      ,   7.2137611860470852     
   1.5236724369910499      ,   7.3299998361617327      ,   7.3385566035299830      ,   7.1948667361950269     
   1.5079644737231011      ,   7.3099998366087675      ,   7.3134898288055696      ,   7.1761660755722216     
   1.4922565104551522      ,   7.2799998372793198      ,   7.2888497161844166      ,   7.1576592041786675     
   1.4765485471872033      ,   7.2599998377263546      ,   7.2646291042716378      ,   7.1393461220143655     
   1.4608405839192544      ,   7.2399998381733894      ,   7.2408210421854564      ,   7.1212268290793155     
   1.4451326206513055      ,   7.2099998388439417      ,   7.2174187820281723      ,   7.1033013253735175     
   1.4294246573833567      ,   7.1899998392909765      ,   7.1944157717023964      ,   7.0855696108969708     
   1.4137166941154078      ,   7.1699998397380114      ,   7.1718056480551509      ,   7.0680316856496770     
   1.3980087308474589      ,   7.1399998404085636      ,   7.1495822303321237      ,   7.0506875496316335     
   1.3823007675795100      ,   7.1199998408555984      ,   7.1277395139246700      ,   7.0335372028428429     
   1.3665928043115612      ,   7.0999998413026333      ,   7.1062716643950372      ,   7.0165806452833035     
   1.3508848410436123      ,   7.0799998417496681      ,   7.0851730117651526      ,   6.9998178769530170     
   1.3351768777756634      ,   7.0599998421967030      ,   7.0644380450546533      ,   6.9832488978519818     
   1.3194689145077145      ,   7.0399998426437378      ,   7.0440614070559535      ,   6.9668737079801994     
   1.3037609512397657      ,   7.0199998430907726      ,   7.0240378893345081      ,   6.9506923073376674     
   1.2880529879718168      ,   6.9999998435378075      ,   7.0043624274420173      ,   6.9347046959243883     
   1.2723450247038679      ,   6.9799998439848423      ,   6.9850300963327516      ,   6.9189108737403595     
   1.2566370614359190      ,   6.9599998444318771      ,   6.9660361059726927      ,   6.9033108407855845     
   1.2409290981679701      ,   6.9399998448789120      ,   6.9473757971319543      ,   6.8879045970600599     
   1.2252211349000213      ,   6.9199998453259468      ,   6.9290446373514554      ,   6.8726921425637890     
   1.2095131716320724      ,   6.9099998455494642      ,   6.9110382170758236      ,   6.8576734772967685     
   1.1938052083641235      ,   6.8899998459964991      ,   6.8933522459441896      ,   6.8428486012590009     
   1.1780972450961746      ,   6.8699998464435339      ,   6.8759825492315230      ,   6.8282175144504835     
   1.1623892818282258      ,   6.8499998468905687      ,   6.8589250644336941      ,   6.8137802168712192     
   1.1466813185602769      ,   6.8399998471140862      ,   6.8421758379889486      ,   6.7995367085212060     
   1.1309733552923280      ,   6.8199998475611210      ,   6.8257310221301530      ,   6.7854869894004457     
   1.1152653920243791      ,   6.7999998480081558      ,   6.8095868718614740      ,   6.7716310595089366     
   1.0995574287564303      ,   6.7899998482316732      ,   6.7937397420538650      ,   6.7579689188466805     
   1.0838494654884814      ,   6.7699998486787081      ,   6.7781860846539610      ,   6.7445005674136747     
   1.0681415022205325      ,   6.7599998489022255      ,   6.7629224460015713      ,   6.7312260052099200     
   1.0524335389525836      ,   6.7399998493492603      ,   6.7479454642505816      ,   6.7181452322354200     
   1.0367255756846347      ,   6.7299998495727777      ,   6.7332518668890691      ,   6.7052582484901695     
   1.0210176124166859      ,   6.7099998500198126      ,   6.7188384683538676      ,   6.6925650539741728     
   1.0053096491487370      ,   6.6999998502433300      ,   6.7047021677361469      ,   6.6800656486874264     
  0.98960168588078801      ,   6.6899998504668474      ,   6.6908399465732282      ,   6.6677600326299329     
  0.97389372261283902      ,   6.6699998509138823      ,   6.6772488667237866      ,   6.6556482058016897     
  0.95818575934489003      ,   6.6599998511373997      ,   6.6639260683222208      ,   6.6437301682027003     
  0.94247779607694104      ,   6.6499998513609171      ,   6.6508687678092917      ,   6.6320059198329613     
  0.92676983280899206      ,   6.6299998518079519      ,   6.6380742560357415      ,   6.6204754606924743     
  0.91106186954104307      ,   6.6199998520314693      ,   6.6255398964354875      ,   6.6091387907812402     
  0.89535390627309408      ,   6.6099998522549868      ,   6.6132631232658454      ,   6.5979959100992573     
  0.87964594300514509      ,   6.5999998524785042      ,   6.6012414399122283      ,   6.5870468186465274     
  0.86393797973719610      ,   6.5799998529255390      ,   6.5894724172537309      ,   6.5762915164230478     
  0.84823001646924712      ,   6.5699998531490564      ,   6.5779536920880552      ,   6.5657300034288193     
  0.83252205320129813      ,   6.5599998533725739      ,   6.5666829656126664      ,   6.5553622796638447     
