t,theta,w
   0.0000000000000000      ,  0.14000000000000001      ,   0.0000000000000000     
   4.0000000000000001E-002 ,  0.13977673101656923      ,  -5.5817245857694596E-003
   8.0000000000000002E-002 ,  0.13933099332846663      ,  -1.1143442202564999E-002
  0.12000000000000000      ,  0.13866393811996700      ,  -1.6676380212490981E-002
  0.16000000000000000      ,  0.13777706502085105      ,  -2.2171827477898368E-002
  0.20000000000000001      ,  0.13667221913047675      ,  -2.7621147259357104E-002
  0.23999999999999999      ,  0.13535158752993279      ,  -3.3015790013599215E-002
  0.28000000000000003      ,  0.13381769528661711      ,  -3.8347306082892288E-002
  0.32000000000000001      ,  0.13207340095595163      ,  -4.3607358266636913E-002
  0.35999999999999999      ,  0.13012189158534426      ,  -4.8787734265184235E-002
  0.40000000000000002      ,  0.12796667722594601      ,  -5.3880358984956425E-002
  0.44000000000000000      ,  0.12561158495822833      ,  -5.8877306692942041E-002
  0.47999999999999998      ,  0.12306075243792634      ,  -6.3770813007549651E-002
  0.52000000000000002      ,  0.12031862096946004      ,  -6.8553286711657446E-002
  0.56000000000000005      ,  0.11738992811455938      ,  -7.3217321372516533E-002
  0.59999999999999998      ,  0.11427969984448043      ,  -7.7755706751973797E-002
  0.64000000000000001      ,  0.11099324224490842      ,  -8.2161439989300283E-002
  0.68000000000000005      ,  0.10753613278339774      ,  -8.6427736537766822E-002
  0.71999999999999997      ,  0.10391421114999683      ,  -9.0548040835022936E-002
  0.76000000000000001      ,  0.10013356968254356      ,  -9.4516036686331670E-002
  0.80000000000000004      ,   9.6200543388991019E-002 ,  -9.8325657338813474E-002
  0.83999999999999997      ,   9.2121699580027916E-002 , -0.10197109522407760     
  0.88000000000000000      ,   8.7903827126188341E-002 , -0.10544681134598935     
  0.92000000000000004      ,   8.3553925354594202E-002 , -0.10874754428985337     
  0.95999999999999996      ,   7.9079192601434090E-002 , -0.11186831882900299     
   1.0000000000000000      ,   7.4487014437246646E-002 , -0.11480445410468618     
   1.0400000000000000      ,   6.9784951583036992E-002 , -0.11755157135524139     
   1.0800000000000001      ,   6.4980727536202224E-002 , -0.12010560117086928     
   1.1200000000000001      ,   6.0082215926168851E-002 , -0.12246279025083437     
   1.1599999999999999      ,   5.5097427620541810E-002 , -0.12461970764067602     
   1.2000000000000000      ,   5.0034497603422948E-002 , -0.12657325042797149     
