t,theta,w
   0.0000000000000000      ,  0.14000000000000001      ,   0.0000000000000000     
   3.9999999105930328E-002 ,  0.13977673102655014      ,  -5.5817244610081931E-003
   7.9999998211860657E-002 ,  0.13933099335834778      ,  -1.1143441954134522E-002
  0.11999999731779099      ,  0.13866393817957481      ,  -1.6676379842070228E-002
  0.15999999642372131      ,  0.13777706511988808      ,  -2.2171826987747067E-002
  0.19999999552965164      ,  0.13667221927849096      ,  -2.7621146652308255E-002
  0.23999999463558197      ,  0.13535158773628736      ,  -3.3015789293050164E-002
  0.27999999374151230      ,  0.13381769556046075      ,  -3.8347305252794353E-002
  0.31999999284744263      ,  0.13207340130618941      ,  -4.3607357331483659E-002
  0.35999999195337296      ,  0.13012189202060911      ,  -4.8787733229998367E-002
  0.39999999105930328      ,  0.12796667775457091      ,  -5.3880357855275306E-002
  0.43999999016523361      ,  0.12561158558821925      ,  -5.8877305474801904E-002
  0.47999998927116394      ,  0.12306075317693606      ,  -6.3770811707468497E-002
  0.51999998837709427      ,  0.12031862182476280      ,  -6.8553285336616684E-002
  0.55999998748302460      ,  0.11738992909302653      ,  -7.3217319929941335E-002
  0.59999998658895493      ,  0.11427970095255706      ,  -7.7755705249712245E-002
  0.63999998569488525      ,  0.11099324348859105      ,  -8.2161438435601392E-002
  0.67999998480081558      ,  0.10753613416821317      ,  -8.6427734941257356E-002
  0.71999998390674591      ,  0.10391421268098210      ,  -9.0548039204683156E-002
  0.75999998301267624      ,  0.10013357136422721      ,  -9.4516035031470019E-002
  0.79999998211860657      ,   9.6200545225375578E-002 ,  -9.8325655669040279E-002
  0.83999998122453690      ,   9.2121701574573722E-002 , -0.10197109354927782     
  0.87999998033046722      ,   8.7903829281798740E-002 , -0.10544680967629440     
  0.91999997943639755      ,   8.3553927673602132E-002 , -0.10874754263561218     
  0.95999997854232788      ,   7.9079195085590109E-002 , -0.11186831720075224     
  0.99999997764825821      ,   7.4487017087708496E-002 , -0.11480445251311991     
   1.0399999767541885      ,   6.9784954400360588E-002 , -0.11755156981117990     
   1.0799999758601189      ,   6.4980730520334262E-002 , -0.12010559968522756     
   1.1199999749660492      ,   6.0082219076440929E-002 , -0.12246278883459000     
   1.1599999740719795      ,   5.5097430935666158E-002 , -0.12461970630483679     
   1.1999999731779099      ,   5.0034501081489755E-002 , -0.12657324918354260     
   1.2399999722838402      ,   4.4901675286844550E-002 , -0.12832064773432000     
   1.2799999713897705      ,   3.9707296604939026E-002 , -0.12985946995022343     
   1.3199999704957008      ,   3.4459791701861732E-002 , -0.13118762550920426     
   1.3599999696016312      ,   2.9167657055507692E-002 , -0.13230336911606178     
   1.3999999687075615      ,   2.3839445045911817E-002 , -0.13320530321726742     
   1.4399999678134918      ,   1.8483749962535899E-002 , -0.13389238007712584     
   1.4799999669194221      ,   1.3109193954428458E-002 , -0.13436390320595332     
   1.5199999660253525      ,   7.7244129494563772E-003 , -0.13461952813328296     
   1.5599999651312828      ,   2.3380425689902770E-003 , -0.13465926252152158     
   1.5999999642372131      ,  -3.0412959354906297E-003 , -0.13448346561796237     
   1.6399999633431435      ,  -8.4050096974252336E-003 , -0.13409284704557381     
   1.6799999624490738      ,  -1.3744548175497827E-002 , -0.13348846493551456     
   1.7199999615550041      ,  -1.9051416993153596E-002 , -0.13267172340683833     
   1.7599999606609344      ,  -2.4317191651507475E-002 , -0.13164436940132795     
   1.7999999597668648      ,  -2.9533531090265540E-002 , -0.13040848888380846     
   1.8399999588727951      ,  -3.4692191071784929E-002 , -0.12896650242061064     
   1.8799999579787254      ,  -3.9785037363993601E-002 , -0.12732116015106651     
   1.9199999570846558      ,  -4.4804058698569571E-002 , -0.12547553616899607     
   1.9599999561905861      ,  -4.9741379481534682E-002 , -0.12343302233307089     
   1.9999999552965164      ,  -5.4589272234243730E-002 , -0.12119732152669739     
   2.0399999544024467      ,  -5.9340169743638399E-002 , -0.11877244038963768     
   2.0799999535083771      ,  -6.3986676901579498E-002 , -0.11616268154496591     
   2.1199999526143074      ,  -6.8521582214061821E-002 , -0.11337263534613412     
   2.1599999517202377      ,  -7.2937868962145630E-002 , -0.11040717116988794     
   2.1999999508261681      ,  -7.7228725997498526E-002 , -0.10727142828152567     
   2.2399999499320984      ,  -8.1387558156522710E-002 , -0.10397080629953331     
   2.2799999490380287      ,  -8.5407996278137166E-002 , -0.10051095528695628     
   2.3199999481439590      ,  -8.9283906811383415E-002 ,  -9.6897765496990099E-002
   2.3599999472498894      ,  -9.3009401000119979E-002 ,  -9.3137356800196400E-002
   2.3999999463558197      ,  -9.6578843633156136E-002 ,  -8.9236067820485487E-002
   2.4399999454617500      ,  -9.9986861349243686E-002 ,  -8.5200444806567063E-002
   2.4799999445676804      , -0.10322835048738954      ,  -8.1037230264969701E-002
   2.5199999436736107      , -0.10629848447396606      ,  -7.6753351379984167E-002
   2.5599999427795410      , -0.10919272073907538      ,  -7.2355908245013437E-002
   2.5999999418854713      , -0.11190680715556413      ,  -6.7852161928832699E-002
   2.6399999409914017      , -0.11443678799498246      ,  -6.3249522399195346E-002
   2.6799999400973320      , -0.11677900939563320      ,  -5.8555536325086692E-002
