t,theta
   54.019998792558908      ,  -3.0714678605864236E-002
   54.029998792335391      ,  -3.0512978904439162E-002
   54.039998792111874      ,  -3.0308329228567465E-002
   54.049998791888356      ,  -3.0100751508740621E-002
   54.059998791664839      ,  -2.9890267957283508E-002
   54.069998791441321      ,  -2.9676901065997855E-002
   54.079998791217804      ,  -2.9460673603778902E-002
   54.089998790994287      ,  -2.9241608614205456E-002
   54.099998790770769      ,  -2.9019729413103670E-002
   54.109998790547252      ,  -2.8795059586084724E-002
   54.119998790323734      ,  -2.8567622986056723E-002
   54.129998790100217      ,  -2.8337443730711034E-002
   54.139998789876699      ,  -2.8104546199983323E-002
   54.149998789653182      ,  -2.7868955033489583E-002
   54.159998789429665      ,  -2.7630695127937376E-002
   54.169998789206147      ,  -2.7389791634512588E-002
   54.179998788982630      ,  -2.7146269956241958E-002
   54.189998788759112      ,  -2.6900155745331646E-002
   54.199998788535595      ,  -2.6651474900482124E-002
   54.209998788312078      ,  -2.6400253564179660E-002
   54.219998788088560      ,  -2.6146518119964674E-002
   54.229998787865043      ,  -2.5890295189677257E-002
   54.239998787641525      ,  -2.5631611630680121E-002
   54.249998787418008      ,  -2.5370494533059271E-002
   54.259998787194490      ,  -2.5106971216802703E-002
   54.269998786970973      ,  -2.4841069228957388E-002
   54.279998786747456      ,  -2.4572816340764872E-002
   54.289998786523938      ,  -2.4302240544775734E-002
   54.299998786300421      ,  -2.4029370051943260E-002
   54.309998786076903      ,  -2.3754233288696587E-002
   54.319998785853386      ,  -2.3476858893993622E-002
   54.329998785629869      ,  -2.3197275716354066E-002
   54.339998785406351      ,  -2.2915512810872823E-002
   54.349998785182834      ,  -2.2631599436214098E-002
   54.359998784959316      ,  -2.2345565051586504E-002
   54.369998784735799      ,  -2.2057439313699495E-002
   54.379998784512281      ,  -2.1767252073701414E-002
   54.389998784288764      ,  -2.1475033374099492E-002
   54.399998784065247      ,  -2.1180813445662097E-002
   54.409998783841729      ,  -2.0884622704303555E-002
   54.419998783618212      ,  -2.0586491747951876E-002
   54.429998783394694      ,  -2.0286451353399692E-002
   54.439998783171177      ,  -1.9984532473138715E-002
   54.449998782947659      ,  -1.9680766232178078E-002
