theta,periodo_anl
   1.5707963267948966      ,   2.5305683003880666     
   1.5629423451609221      ,   2.5071857891369391     
   1.5550883635269477      ,   2.4840726825474051     
   1.5472343818929732      ,   2.4612226758315865     
   1.5393804002589988      ,   2.4386296671228704     
   1.5315264186250244      ,   2.4162877488825201     
   1.5236724369910499      ,   2.3941911997542586     
   1.5158184553570755      ,   2.3723344768390655     
   1.5079644737231011      ,   2.3507122083644547     
   1.5001104920891266      ,   2.3293191867243181     
   1.4922565104551522      ,   2.3081503618671007     
   1.4844025288211777      ,   2.2872008350116051     
   1.4765485471872033      ,   2.2664658526711285     
   1.4686945655532289      ,   2.2459408009679889     
   1.4608405839192544      ,   2.2256212002216373     
   1.4529866022852800      ,   2.2055026997947667     
   1.4451326206513055      ,   2.1855810731827718     
   1.4372786390173311      ,   2.1658522133329110     
   1.4294246573833567      ,   2.1463121281804023     
   1.4215706757493822      ,   2.1269569363895178     
   1.4137166941154078      ,   2.1077828632884539     
   1.4058627124814334      ,   2.0887862369875432     
   1.3980087308474589      ,   2.0699634846709287     
   1.3901547492134845      ,   2.0513111290525288     
   1.3823007675795100      ,   2.0328257849875881     
   1.3744467859455356      ,   2.0145041562317498     
   1.3665928043115612      ,   1.9963430323399531     
   1.3587388226775867      ,   1.9783392856980182     
   1.3508848410436123      ,   1.9604898686801535     
   1.3430308594096378      ,   1.9427918109260118     
   1.3351768777756634      ,   1.9252422167313548     
   1.3273228961416890      ,   1.9078382625466197     
   1.3194689145077145      ,   1.8905771945781606     
   1.3116149328737401      ,   1.8734563264870479     
   1.3037609512397657      ,   1.8564730371808085     
   1.2959069696057912      ,   1.8396247686935303     
   1.2880529879718168      ,   1.8229090241502193     
   1.2801990063378423      ,   1.8063233658113345     
   1.2723450247038679      ,   1.7898654131937988     
   1.2644910430698935      ,   1.7735328412648934     
   1.2566370614359190      ,   1.7573233787056659     
   1.2487830798019446      ,   1.7412348062406728     
   1.2409290981679701      ,   1.7252649550310408     
   1.2330751165339957      ,   1.7094117051279594     
   1.2252211349000213      ,   1.6936729839839064     
   1.2173671532660468      ,   1.6780467650190642     
   1.2095131716320724      ,   1.6625310662404200     
   1.2016591899980980      ,   1.6471239489113145     
   1.1938052083641235      ,   1.6318235162691634     
   1.1859512267301491      ,   1.6166279122893468     
   1.1780972450961746      ,   1.6015353204932021     
   1.1702432634622002      ,   1.5865439627982993     
   1.1623892818282258      ,   1.5716520984091846     
   1.1545353001942513      ,   1.5568580227468791     
   1.1466813185602769      ,   1.5421600664155188     
   1.1388273369263024      ,   1.5275565942046168     
   1.1309733552923280      ,   1.5130460041254448     
   1.1231193736583536      ,   1.4986267264801465     
   1.1152653920243791      ,   1.4842972229622609     
   1.1074114103904047      ,   1.4700559857873847     
   1.0995574287564303      ,   1.4559015368527455     
   1.0917034471224558      ,   1.4418324269245533     
   1.0838494654884814      ,   1.4278472348520101     
   1.0759954838545069      ,   1.4139445668069506     
   1.0681415022205325      ,   1.4001230555480733     
   1.0602875205865581      ,   1.3863813597088568     
   1.0524335389525836      ,   1.3727181631081928     
   1.0445795573186092      ,   1.3591321740828970     
   1.0367255756846347      ,   1.3456221248412430     
   1.0288715940506603      ,   1.3321867708367456     
   1.0210176124166859      ,   1.3188248901613913     
   1.0131636307827114      ,   1.3055352829576217     
   1.0053096491487370      ,   1.2923167708483505     
  0.99745566751476256      ,   1.2791681963843580     
  0.98960168588078812      ,   1.2660884225084021     
  0.98174770424681368      ,   1.2530763320354603     
  0.97389372261283924      ,   1.2401308271484843     
  0.96603974097886480      ,   1.2272508289091464     
  0.95818575934489036      ,   1.2144352767829709     
  0.95033177771091593      ,   1.2016831281784270     
  0.94247779607694149      ,   1.1889933579993854     
  0.93462381444296705      ,   1.1763649582105484     
  0.92676983280899261      ,   1.1637969374153336     
  0.91891585117501817      ,   1.1512883204458326     
  0.91106186954104373      ,   1.1388381479643526     
  0.90320788790706930      ,   1.1264454760762157     
  0.89535390627309486      ,   1.1141093759533596     
  0.88749992463912042      ,   1.1018289334684186     
  0.87964594300514598      ,   1.0896032488388898     
  0.87179196137117154      ,   1.0774314362810722     
  0.86393797973719710      ,   1.0653126236734136     
  0.85608399810322267      ,   1.0532459522289861     
  0.84823001646924823      ,   1.0412305761767562     
  0.84037603483527379      ,   1.0292656624513594     
  0.83252205320129935      ,   1.0173503903911076     
  0.82466807156732491      ,   1.0054839514439522     
  0.81681408993335047      ,  0.99366554888113701     
  0.80896010829937604      ,  0.98189439751828522     
  0.80110612666540160      ,  0.97016972344369767     
  0.79325214503142716      ,  0.95849076375359754     
  0.78539816339745272      ,  0.94685676629412385     
  0.77754418176347828      ,  0.93526698940983743     
  0.76969020012950384      ,  0.92372070169854836     
  0.76183621849552940      ,  0.91221718177223365     
  0.75398223686155497      ,  0.90075571802388588     
  0.74612825522758053      ,  0.88933560840008385     
  0.73827427359360609      ,  0.87795616017909550     
  0.73042029195963165      ,  0.86661668975436734     
  0.72256631032565721      ,  0.85531652242320633     
  0.71471232869168277      ,  0.84405499218049640     
  0.70685834705770834      ,  0.83283144151730704     
  0.69900436542373390      ,  0.82164522122421624     
  0.69115038378975946      ,  0.81049569019922418     
  0.68329640215578502      ,  0.79938221526011055     
  0.67544242052181058      ,  0.78830417096108119     
  0.66758843888783614      ,  0.77726093941359797     
  0.65973445725386171      ,  0.76625191011124316     
  0.65188047561988727      ,  0.75527647975851164     
  0.64402649398591283      ,  0.74433405210338921     
  0.63617251235193839      ,  0.73342403777362108     
  0.62831853071796395      ,  0.72254585411655237     
